player,team,price_in_lakh,salary_contribution_percent
Kiran Thagunna,Pokhara Avengers,2.00,1.04
Sunam Gautam,Pokhara Avengers,2.00,1.04
Narayan Joshi,Pokhara Avengers,2.00,1.04
Dinesh Kharel,Pokhara Avengers,2.00,1.04
Bipin Khatri,Pokhara Avengers,2.00,1.04
Amrit Gurung,Pokhara Avengers,0.00,0.00
Scott Kuggeleijn,Sudurpaschim Royals,25.00,16.34
Dipendra Singh Airee,Sudurpaschim Royals,20.00,13.07
Rohan Mustafa,Sudurpaschim Royals,20.00,13.07
Saif Zaib,Sudurpaschim Royals,18.00,11.76
Aarif Sheikh,Sudurpaschim Royals,15.00,9.80
Brandon McMullen,Sudurpaschim Royals,15.00,9.80
Harmeet Singh,Sudurpaschim Royals,12.00,7.84
Dilpreet Bajwa,Sudurpaschim Royals,10.00,6.54
Abinash Bohara,Sudurpaschim Royals,5.00,3.27
Khadak Bohora,Sudurpaschim Royals,3.00,1.96
Arjun Kumal,Sudurpaschim Royals,2.00,1.31
Basant Khatri,Sudurpaschim Royals,2.00,1.31
Naresh Budhayer,Sudurpaschim Royals,2.00,1.31
Naren Saud,Sudurpaschim Royals,2.00,1.31
Amit Shrestha,Sudurpaschim Royals,2.00,1.31
Binod Bhandari,Sudurpaschim Royals,0.00,0.00
Bhoj Raj Bhatta,Sudurpaschim Royals,0.00,0.00
Ishan Pandey,Sudurpaschim Royals,0.00,0.00
